SLURM NODE: kn055
[I 2026-02-23 04:49:56,738] A new study created in RDB with name: R8-Sliding_windows
[I 2026-02-25 12:29:02,293] Trial 53 finished with value: 0.9450204871800221 and parameters: {'batch_size': 16, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 12:29:02,848] Trial 54 pruned. Duplicate hyper-parameters, same as those used in trial 16: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}.
[I 2026-02-25 12:29:03,402] Trial 55 pruned. Duplicate hyper-parameters, same as those used in trial 23: {'batch_size': 64, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001}.
[I 2026-02-25 13:14:10,737] Trial 56 finished with value: 0.9497127035327528 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 14:10:05,958] Trial 57 finished with value: 0.9525257115603267 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 14:51:55,481] Trial 58 finished with value: 0.9620651389050862 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 58 with value: 0.9620651389050862.
[I 2026-02-25 14:51:56,178] Trial 59 pruned. Duplicate hyper-parameters, same as those used in trial 58: {'batch_size': 64, 'window_size': 3, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-06}.
[I 2026-02-25 16:05:40,956] Trial 60 finished with value: 0.9461769113057404 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 58 with value: 0.9620651389050862.
[I 2026-02-25 17:01:37,306] Trial 61 finished with value: 0.9295879068867083 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 58 with value: 0.9620651389050862.
[I 2026-02-25 17:47:34,025] Trial 62 finished with value: 0.9650002446614103 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 18:40:13,910] Trial 63 finished with value: 0.9491290770958506 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 19:19:58,656] Trial 64 finished with value: 0.9473987238053568 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 20:26:12,516] Trial 65 finished with value: 0.9190365135801764 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 21:05:56,520] Trial 66 finished with value: 0.9413203603888287 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 21:51:30,443] Trial 67 finished with value: 0.9650002446614103 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 62 with value: 0.9650002446614103.
