dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,test,72,0.8,0.95,962,445,1224,367,768,2642,2
IMDb-1k,test,9,0.8,0.95,911,434,1197,413,768,2849,2
IMDb-1k,test,271,0.8,0.95,752,418,1067,354,768,2282,2
IMDb-1k,test,316,0.8,0.95,786,395,1120,363,768,2325,2
IMDb-1k,test,172,0.8,0.95,793,420,1060,351,768,2296,2
IMDb-1k,test,202,0.8,0.95,813,420,1098,327,768,2206,2
IMDb-1k,test,75,0.8,0.95,872,389,1138,376,768,2505,2
IMDb-1k,test,318,0.8,0.95,764,361,1059,360,768,2290,2
IMDb-1k,test,77,0.8,0.95,969,504,1305,456,768,3121,2
IMDb-1k,test,324,0.8,0.95,973,500,1328,419,768,2949,2
IMDb-1k,test,111,0.8,0.95,812,412,1078,324,768,2116,2
IMDb-1k,test,238,0.8,0.95,762,417,1004,289,768,1953,2
IMDb-1k,test,143,0.8,0.95,846,391,1054,359,768,2401,2
IMDb-1k,test,325,0.8,0.95,726,366,976,336,768,2187,2
IMDb-1k,test,5,0.8,0.95,903,456,1248,371,768,2610,2
IMDb-1k,test,147,0.8,0.95,968,462,1290,404,768,2833,2
IMDb-1k,test,63,0.8,0.95,891,465,1284,379,768,2549,2
IMDb-1k,test,114,0.8,0.95,756,352,915,302,768,2132,2
IMDb-1k,test,139,0.8,0.95,822,358,1070,377,768,2484,2
IMDb-1k,test,101,0.8,0.95,796,347,1035,288,768,1997,2
IMDb-1k,test,94,0.8,0.95,852,415,1114,365,768,2462,2
IMDb-1k,test,282,0.8,0.95,931,412,1212,403,768,2794,2
IMDb-1k,test,3,0.8,0.95,813,411,1199,393,768,2540,2
IMDb-1k,test,225,0.8,0.95,872,435,1140,335,768,2281,2
IMDb-1k,test,219,0.8,0.95,930,463,1240,400,768,2892,2
IMDb-1k,test,310,0.8,0.95,968,448,1272,402,768,2820,2
IMDb-1k,test,183,0.8,0.95,856,416,1191,365,768,2456,2
