dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
R8,train,3809,0.6,0.95,18,13,37,16,768,54,8
R8,train,149,0.6,0.95,38,32,51,22,768,86,8
R8,train,3123,0.6,0.95,37,21,74,34,768,151,8
R8,train,3367,0.6,0.95,102,39,136,68,768,398,8
R8,train,3196,0.6,0.95,95,66,135,65,768,405,8
R8,validation,628,0.6,0.95,57,41,82,42,768,196,8
R8,validation,631,0.6,0.95,39,35,58,29,768,109,8
R8,validation,741,0.6,0.95,47,31,64,26,768,104,8
R8,validation,514,0.6,0.95,187,119,255,115,768,1023,8
R8,validation,365,0.6,0.95,88,51,170,69,768,508,8
R8,test,1593,0.6,0.95,86,56,116,53,768,277,8
R8,test,526,0.6,0.95,38,21,84,35,768,162,8
R8,test,393,0.6,0.95,329,168,412,204,768,3053,8
R8,test,1403,0.6,0.95,79,55,116,52,768,292,8
R8,test,433,0.6,0.95,76,57,89,52,768,239,8
Ohsumed,train,655,0.7,0.5,306,155,480,210,768,21555,23
Ohsumed,train,862,0.7,0.5,175,83,276,126,768,7978,23
Ohsumed,train,365,0.7,0.5,176,106,220,111,768,6137,23
Ohsumed,train,2423,0.7,0.5,174,90,264,139,768,9004,23
Ohsumed,train,1514,0.7,0.5,270,138,392,190,768,18984,23
Ohsumed,validation,361,0.7,0.5,160,90,253,112,768,6213,23
Ohsumed,validation,158,0.7,0.5,68,54,105,51,768,1199,23
Ohsumed,validation,481,0.7,0.5,185,95,293,159,768,11911,23
Ohsumed,validation,639,0.7,0.5,202,105,283,153,768,11367,23
Ohsumed,validation,275,0.7,0.5,160,98,290,136,768,9644,23
Ohsumed,test,4004,0.7,0.5,237,126,354,178,768,16070,23
Ohsumed,test,149,0.7,0.5,198,103,334,170,768,14023,23
Ohsumed,test,2025,0.7,0.5,136,80,188,99,768,4634,23
Ohsumed,test,2505,0.7,0.5,161,89,282,135,768,8985,23
Ohsumed,test,3203,0.7,0.5,208,109,310,153,768,11138,23
R8,train,3809,0.7,0.5,18,13,37,14,768,92,8
R8,train,149,0.7,0.5,38,32,51,16,768,156,8
R8,train,3123,0.7,0.5,37,21,74,27,768,347,8
R8,train,3367,0.7,0.5,102,39,136,52,768,1350,8
R8,train,3196,0.7,0.5,95,66,135,53,768,1453,8
R8,validation,628,0.7,0.5,57,41,82,35,768,566,8
R8,validation,631,0.7,0.5,39,35,58,26,768,301,8
R8,validation,741,0.7,0.5,47,31,64,23,768,256,8
R8,validation,514,0.7,0.5,187,119,255,97,768,4764,8
R8,validation,365,0.7,0.5,88,51,170,54,768,1673,8
R8,test,1593,0.7,0.5,86,56,116,43,768,892,8
R8,test,526,0.7,0.5,38,21,84,27,768,370,8
R8,test,393,0.7,0.5,329,168,412,164,768,13988,8
R8,test,1403,0.7,0.5,79,55,116,41,768,968,8
R8,test,433,0.7,0.5,76,57,89,40,768,735,8
Ohsumed,train,655,0.7,0.6,306,155,480,210,768,17757,23
Ohsumed,train,862,0.7,0.6,175,83,276,126,768,6558,23
Ohsumed,train,365,0.7,0.6,176,106,220,111,768,5069,23
Ohsumed,train,2423,0.7,0.6,174,90,264,139,768,7416,23
Ohsumed,train,1514,0.7,0.6,270,138,392,190,768,15636,23
Ohsumed,validation,361,0.7,0.6,160,90,253,112,768,5051,23
Ohsumed,validation,158,0.7,0.6,68,54,105,51,768,986,23
Ohsumed,validation,481,0.7,0.6,185,95,293,159,768,9888,23
Ohsumed,validation,639,0.7,0.6,202,105,283,153,768,9338,23
Ohsumed,validation,275,0.7,0.6,160,98,290,136,768,7951,23
Ohsumed,test,4004,0.7,0.6,237,126,354,178,768,13219,23
Ohsumed,test,149,0.7,0.6,198,103,334,170,768,11506,23
Ohsumed,test,2025,0.7,0.6,136,80,188,99,768,3760,23
Ohsumed,test,2505,0.7,0.6,161,89,282,135,768,7453,23
Ohsumed,test,3203,0.7,0.6,208,109,310,153,768,9145,23
R8,train,3809,0.7,0.6,18,13,37,14,768,82,8
R8,train,149,0.7,0.6,38,32,51,16,768,139,8
R8,train,3123,0.7,0.6,37,21,74,27,768,291,8
R8,train,3367,0.7,0.6,102,39,136,52,768,1117,8
R8,train,3196,0.7,0.6,95,66,135,53,768,1206,8
R8,validation,628,0.7,0.6,57,41,82,35,768,458,8
R8,validation,631,0.7,0.6,39,35,58,26,768,254,8
R8,validation,741,0.7,0.6,47,31,64,23,768,226,8
R8,validation,514,0.7,0.6,187,119,255,97,768,3904,8
R8,validation,365,0.7,0.6,88,51,170,54,768,1389,8
R8,test,1593,0.7,0.6,86,56,116,43,768,749,8
R8,test,526,0.7,0.6,38,21,84,27,768,328,8
R8,test,393,0.7,0.6,329,168,412,164,768,11520,8
R8,test,1403,0.7,0.6,79,55,116,41,768,800,8
R8,test,433,0.7,0.6,76,57,89,40,768,619,8
Ohsumed,train,655,0.7,0.7,306,155,480,210,768,13889,23
Ohsumed,train,862,0.7,0.7,175,83,276,126,768,5065,23
