SLURM NODE: kn060
[I 2026-02-05 06:46:48,723] A new study created in RDB with name: Ohsumed-Fine-tuning
[I 2026-02-05 17:10:55,925] Trial 79 finished with value: 0.6202463462450154 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 17:18:46,701] Trial 80 finished with value: 0.641786718211854 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 17:26:44,733] Trial 81 finished with value: 0.46999564987501385 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 17:34:21,196] Trial 82 finished with value: 0.6535769520146854 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 17:42:02,304] Trial 83 finished with value: 0.43815123594682875 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 17:50:25,043] Trial 84 finished with value: 0.5839025829104042 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 17:58:06,969] Trial 85 finished with value: 0.5635926765196508 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 18:05:51,614] Trial 86 finished with value: 0.5427112676224689 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 18:14:07,490] Trial 87 finished with value: 0.6253879046702738 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 18:22:34,902] Trial 88 finished with value: 0.6056836626989728 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 18:30:25,196] Trial 89 finished with value: 0.6384220778924921 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 18:36:48,760] Trial 90 finished with value: 0.6092367304823431 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
