SLURM NODE: kn068
[I 2026-02-05 10:32:40,584] A new study created in RDB with name: IMDb-Fine-tuning
[I 2026-02-06 03:11:23,716] Trial 62 finished with value: 0.9308 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 03:27:25,775] Trial 63 finished with value: 0.9258 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 03:41:10,216] Trial 64 finished with value: 0.9204 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 03:55:50,636] Trial 65 finished with value: 0.9244 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 04:09:34,299] Trial 66 finished with value: 0.9166 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 04:23:35,517] Trial 67 finished with value: 0.925 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 04:40:14,847] Trial 68 finished with value: 0.9136 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 04:54:13,554] Trial 69 finished with value: 0.9 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 05:08:48,144] Trial 70 finished with value: 0.9076 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 05:23:05,081] Trial 71 finished with value: 0.8984 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 05:37:42,865] Trial 72 finished with value: 0.9212 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 05:51:46,382] Trial 73 finished with value: 0.9234 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 06:05:49,959] Trial 74 finished with value: 0.9262 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 06:20:09,133] Trial 75 finished with value: 0.9212 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 06:38:06,069] Trial 76 finished with value: 0.906 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 06:51:47,846] Trial 77 finished with value: 0.9176 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 07:05:30,699] Trial 78 finished with value: 0.9166 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 07:26:29,524] Trial 79 finished with value: 0.9348 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 79 with value: 0.9348.
